Sensitivity Analysis - Bulker - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];GWP [kg];NPV [EUR];Fuel Consumption [kg];Energy (Well to tank) [J];PM (Well to tank) [kg];NOx (Well to tank) [kg];SOx (Well to tank) [kg];CO2 (Well to tank) [kg];CH4 (Well to tank) [kg];SOx [kg];NOx [kg];CH4 [kg];CO2 [kg];PM [kg];Energy [J]
Bulker SuezMax FS;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Bulker SuezMax FS;Electrical;-100;0.000000;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-98;0.082311;0.303277;-1.681748;1.457476;56577271.285730;0.000592;0.001101;0.002068;-1.819421;0.000760;0.000000;0.013469;0.000000;2.101429;0.000024;30105338.775510
Bulker SuezMax FS;Electrical;-98;0.082311;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-96;0.164622;0.606554;-3.363497;2.914952;113154542.571459;0.001184;0.002201;0.004135;-3.638842;0.001519;0.000000;0.026939;0.000000;4.202859;0.000049;60210677.551020
Bulker SuezMax FS;Electrical;-96;0.164622;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-94;0.246933;0.909831;-5.045245;4.372428;169731813.857189;0.001776;0.003302;0.006203;-5.458263;0.002279;0.000000;0.040408;0.000000;6.304288;0.000073;90316016.326531
Bulker SuezMax FS;Electrical;-94;0.246933;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-92;0.329244;1.213108;-6.726994;5.829904;226309085.142918;0.002368;0.004402;0.008270;-7.277684;0.003038;0.000000;0.053878;0.000000;8.405717;0.000097;120421355.102041
Bulker SuezMax FS;Electrical;-92;0.329244;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-90;0.411556;1.516385;-8.408742;7.287380;282886356.428647;0.002960;0.005503;0.010338;-9.097105;0.003798;0.000000;0.067347;0.000000;10.507147;0.000122;150526693.877551
Bulker SuezMax FS;Electrical;-90;0.411556;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-88;0.493867;1.819663;-10.090491;8.744856;339463627.714377;0.003552;0.006603;0.012405;-10.916526;0.004558;0.000000;0.080816;0.000000;12.608576;0.000146;180632032.653061
Bulker SuezMax FS;Electrical;-88;0.493867;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-86;0.576178;2.122940;-11.772239;10.202332;396040899.000107;0.004144;0.007704;0.014473;-12.735947;0.005317;0.000000;0.094286;0.000000;14.710005;0.000170;210737371.428571
Bulker SuezMax FS;Electrical;-86;0.576178;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-84;0.658489;2.426217;-13.453988;11.659808;452618170.285836;0.004736;0.008804;0.016540;-14.555367;0.006077;0.000000;0.107755;0.000000;16.811435;0.000195;240842710.204082
Bulker SuezMax FS;Electrical;-84;0.658489;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-82;0.740800;2.729494;-15.135736;13.117284;509195441.571566;0.005328;0.009905;0.018608;-16.374788;0.006836;0.000000;0.121224;0.000000;18.912864;0.000219;270948048.979592
Bulker SuezMax FS;Electrical;-82;0.740800;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-80;0.823111;3.032771;-16.817485;14.574760;565772712.857295;0.005919;0.011005;0.020675;-18.194209;0.007596;0.000000;0.134694;0.000000;21.014294;0.000243;301053387.755102
Bulker SuezMax FS;Electrical;-80;0.823111;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-78;0.905422;3.336048;-18.499233;16.032236;622349984.143025;0.006511;0.012106;0.022743;-20.013630;0.008356;0.000000;0.148163;0.000000;23.115723;0.000268;331158726.530612
Bulker SuezMax FS;Electrical;-78;0.905422;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-76;0.987733;3.639325;-20.180982;17.489713;678927255.428754;0.007103;0.013207;0.024810;-21.833051;0.009115;0.000000;0.161633;0.000000;25.217152;0.000292;361264065.306122
Bulker SuezMax FS;Electrical;-76;0.987733;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-74;1.070044;4.745597;-26.315542;22.806188;885305710.914200;0.009263;0.017221;0.032352;-28.469802;0.011886;0.000000;0.210765;0.000000;32.882593;0.000381;471080130.612245
Bulker SuezMax FS;Electrical;-74;1.070044;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-72;1.152356;6.654864;-36.902913;31.981662;1241485350.599361;0.012989;0.024149;0.045368;-39.923884;0.016668;0.000000;0.295561;0.000000;46.112046;0.000534;660606922.448980
Bulker SuezMax FS;Electrical;-72;1.152356;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-70;1.234667;8.564131;-47.490284;41.157136;1597664990.284523;0.016716;0.031078;0.058384;-51.377966;0.021450;0.000000;0.380357;0.000000;59.341499;0.000687;850133714.285715
Bulker SuezMax FS;Electrical;-70;1.234667;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-68;1.316978;10.473398;-58.077655;50.332610;1953844629.969681;0.020442;0.038006;0.071399;-62.832048;0.026232;0.000000;0.465153;0.000000;72.570952;0.000840;1039660506.122448
Bulker SuezMax FS;Electrical;-68;1.316978;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-66;1.399289;12.382666;-68.665026;59.508084;2310024269.654842;0.024169;0.044935;0.084415;-74.286130;0.031014;0.000000;0.549949;0.000000;85.800405;0.000993;1229187297.959183
Bulker SuezMax FS;Electrical;-66;1.399289;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-64;1.481600;14.291933;-79.252398;68.683558;2666203909.340004;0.027896;0.051863;0.097431;-85.740211;0.035796;0.000000;0.634745;0.000000;99.029858;0.001147;1418714089.795919
Bulker SuezMax FS;Electrical;-64;1.481600;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-62;1.563911;16.201200;-89.839769;77.859033;3022383549.025165;0.031622;0.058792;0.110447;-97.194293;0.040578;0.000000;0.719541;0.000000;112.259311;0.001300;1608240881.632653
Bulker SuezMax FS;Electrical;-62;1.563911;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-60;1.646222;18.110467;-100.427140;87.034507;3378563188.710326;0.035349;0.065720;0.123463;-108.648375;0.045360;0.000000;0.804337;0.000000;125.488764;0.001453;1797767673.469388
Bulker SuezMax FS;Electrical;-60;1.646222;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-58;1.728533;20.019734;-111.014511;96.209981;3734742828.395487;0.039075;0.072648;0.136479;-120.102457;0.050142;0.000000;0.889133;0.000000;138.718217;0.001606;1987294465.306123
Bulker SuezMax FS;Electrical;-58;1.728533;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-56;1.810844;21.929001;-121.601882;105.385455;4090922468.080646;0.042802;0.079577;0.149495;-131.556538;0.054924;0.000000;0.973929;0.000000;151.947670;0.001759;2176821257.142857
Bulker SuezMax FS;Electrical;-56;1.810844;51.694958;-286.661675;248.433416;9643853060.067532;0.100900;0.187593;0.352416;-310.128567;0.129476;0.000000;2.295918;0.000000;358.198185;0.004147;5131591836.734695
Bulker SuezMax FS;Propulsion;-54;1.893156;23.838268;-132.189254;114.560929;4447102107.765807;0.046528;0.086505;0.162511;-143.010620;0.059706;0.000000;1.058724;0.000000;165.177123;0.001913;2366348048.979591
