Sensitivity Analysis - Car-Carrier - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];SOx (Well to tank) [kg];NOx (Well to tank) [kg];CH4 (Well to tank) [kg];PM (Well to tank) [kg];CO2 (Well to tank) [kg];GWP [kg];SOx [kg];PM [kg];CO2 [kg];Energy [J];NOx [kg];CH4 [kg];NPV [EUR];Fuel Consumption [kg]
Car Carrier groesser 40000 GT Tier I;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Car Carrier groesser 40000 GT Tier I;Electrical;-100;0.000000;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-98;0.123467;3498997.308944;0.000600;0.000667;0.000689;0.000066;0.196740;1.523233;0.000932;0.000510;1.307192;17400003.072000;0.033326;0.000000;-0.726039;0.407733
Car Carrier groesser 40000 GT Tier I;Electrical;-98;0.123467;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-96;0.246933;6997720.070404;0.001199;0.001335;0.001379;0.000132;0.393464;3.046346;0.001864;0.001019;2.614281;34798640.859429;0.066651;0.000000;-1.452043;0.815434
Car Carrier groesser 40000 GT Tier I;Electrical;-96;0.246933;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-94;0.370400;10496168.284383;0.001799;0.002002;0.002068;0.000198;0.590173;4.569339;0.002796;0.001529;3.921268;52195913.362286;0.099977;0.000000;-2.178011;1.223103
Car Carrier groesser 40000 GT Tier I;Electrical;-94;0.370400;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-92;0.493867;13994341.950878;0.002398;0.002669;0.002757;0.000264;0.786867;6.092213;0.003727;0.002039;5.228152;69591820.580571;0.133303;0.000000;-2.903945;1.630740
Car Carrier groesser 40000 GT Tier I;Electrical;-92;0.493867;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-90;0.617333;17492241.069891;0.002997;0.003337;0.003446;0.000330;0.983545;7.614968;0.004659;0.002548;6.534933;86986362.514286;0.166628;0.000000;-3.629844;2.038345
Car Carrier groesser 40000 GT Tier I;Electrical;-90;0.617333;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-88;0.740800;20989865.641422;0.003597;0.004004;0.004135;0.000396;1.180208;9.137603;0.005591;0.003058;7.841612;104379539.163429;0.199954;0.000000;-4.355707;2.445918
Car Carrier groesser 40000 GT Tier I;Electrical;-88;0.740800;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-86;0.864267;24487215.665469;0.004196;0.004671;0.004824;0.000462;1.376855;10.660118;0.006522;0.003568;9.148189;121771350.528000;0.233279;0.000000;-5.081535;2.853459
Car Carrier groesser 40000 GT Tier I;Electrical;-86;0.864267;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-84;0.987733;27984291.142035;0.004795;0.005338;0.005513;0.000527;1.573487;12.182514;0.007454;0.004077;10.454662;139161796.608000;0.266605;0.000000;-5.807328;3.260968
Car Carrier groesser 40000 GT Tier I;Electrical;-84;0.987733;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-82;1.111200;46193787.159852;0.007915;0.008811;0.009100;0.000871;2.597362;20.109727;0.012304;0.006732;17.257555;229714963.322286;0.440176;0.000000;-9.586934;5.382893
Car Carrier groesser 40000 GT Tier I;Electrical;-82;1.111200;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-80;1.234667;71747350.978155;0.012294;0.013685;0.014135;0.001352;4.034175;31.234063;0.019110;0.010459;26.804121;356789107.621428;0.683870;0.000000;-14.891893;8.360612
Car Carrier groesser 40000 GT Tier I;Electrical;-80;1.234667;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-78;1.358133;97286234.013293;0.016670;0.018557;0.019166;0.001834;5.470163;42.352008;0.025912;0.014186;36.345203;483790246.528000;0.927563;0.000000;-20.194975;11.336620
Car Carrier groesser 40000 GT Tier I;Electrical;-78;1.358133;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-76;1.481600;122810436.265268;0.021044;0.023425;0.024194;0.002315;6.905326;53.463562;0.032710;0.017913;45.880800;610718380.042000;1.171257;0.000000;-25.496180;14.310917
Car Carrier groesser 40000 GT Tier I;Electrical;-76;1.481600;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-74;1.605067;148319957.734080;0.025415;0.028291;0.029220;0.002796;8.339663;64.568724;0.039505;0.021640;55.410912;737573508.163429;1.414951;0.000000;-30.795508;17.283503
Car Carrier groesser 40000 GT Tier I;Electrical;-74;1.605067;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-72;1.728533;173814798.419728;0.029783;0.033154;0.034242;0.003276;9.773174;75.667496;0.046295;0.025368;64.935540;864355630.892286;1.658645;0.000000;-36.092959;20.254379
Car Carrier groesser 40000 GT Tier I;Electrical;-72;1.728533;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-70;1.852000;199294958.322212;0.034150;0.038014;0.039262;0.003756;11.205860;86.759876;0.053082;0.029095;74.454683;991064748.228572;1.902338;0.000000;-41.388534;23.223544
Car Carrier groesser 40000 GT Tier I;Electrical;-70;1.852000;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-68;1.975467;224760437.441533;0.038513;0.042872;0.044279;0.004236;12.637721;97.845866;0.059865;0.032822;83.968341;1117700860.172286;2.146032;0.000000;-46.682231;26.190998
Car Carrier groesser 40000 GT Tier I;Electrical;-68;1.975467;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-66;2.098933;263402166.348745;0.045134;0.050242;0.051891;0.004965;14.810449;114.667925;0.070157;0.038481;98.404520;1309860539.739428;2.516085;0.000000;-54.717219;30.693862
Car Carrier groesser 40000 GT Tier I;Electrical;-66;2.098933;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-64;2.222400;328356944.002911;0.056265;0.062632;0.064688;0.006189;18.462695;142.944950;0.087458;0.048006;122.671001;1632871171.337999;3.138858;0.000000;-68.229745;38.262945
Car Carrier groesser 40000 GT Tier I;Electrical;-64;2.222400;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-62;2.345867;393215843.455923;0.067378;0.075004;0.077465;0.007411;22.109550;171.180236;0.104733;0.057531;146.901663;1955405014.632001;3.761631;0.000000;-81.730012;45.820856
Car Carrier groesser 40000 GT Tier I;Electrical;-62;2.345867;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-60;2.469333;457978864.707779;0.078476;0.087357;0.090224;0.008632;25.751013;199.373782;0.121982;0.067056;171.096506;2277462069.621431;4.384404;0.000000;-95.218021;53.367594
Car Carrier groesser 40000 GT Tier I;Electrical;-60;2.469333;757024308.753942;0.129718;0.144398;0.149137;0.014269;42.565595;329.558439;0.201633;0.119458;282.817012;3764571428.571429;5.283706;0.000000;-141.888134;88.214913
Car Carrier groesser 40000 GT Tier I;Propulsion;-58;2.592800;522646007.758481;0.089556;0.099692;0.102963;0.009851;29.387086;227.525590;0.139206;0.076580;195.255530;2599042336.306287;5.007177;0.000000;-108.693772;60.903160
