Sensitivity Analysis - Container - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];NOx (Well to tank) [kg];PM (Well to tank) [kg];SOx (Well to tank) [kg];Energy (Well to tank) [J];CO2 (Well to tank) [kg];CH4 (Well to tank) [kg];CH4 [kg];SOx [kg];CO2 [kg];Energy [J];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Container groesser 145000 GT FS;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Container groesser 145000 GT FS;Electrical;-100;0.000000;0.187593;0.100900;0.352416;9643853060.067532;-310.128567;0.129476;0.000000;0.000000;358.198185;5131591836.734695;2.295918;0.004147;51.694958;-286.661675;248.433416
Container groesser 145000 GT FS;Propulsion;-98;0.123467;0.001501;0.000807;0.002819;77150824.480540;-2.481029;0.001036;0.000000;0.000000;2.865585;41052734.693878;0.018367;0.000033;0.413560;-2.293293;1.987467
Container groesser 145000 GT FS;Electrical;-98;0.123467;0.187593;0.100900;0.352416;9643853060.067532;-310.128567;0.129476;0.000000;0.000000;358.198185;5131591836.734695;2.295918;0.004147;51.694958;-286.661675;248.433416
Container groesser 145000 GT FS;Propulsion;-96;0.246933;0.003001;0.001614;0.005639;154301648.961081;-4.962057;0.002072;0.000000;0.000000;5.731171;82105469.387755;0.036735;0.000066;0.827119;-4.586587;3.974935
Container groesser 145000 GT FS;Electrical;-96;0.246933;0.187593;0.100900;0.352416;9643853060.067532;-310.128567;0.129476;0.000000;0.000000;358.198185;5131591836.734695;2.295918;0.004147;51.694958;-286.661675;248.433416
Container groesser 145000 GT FS;Propulsion;-94;0.370400;0.004502;0.002422;0.008458;231452473.441621;-7.443086;0.003107;0.000000;0.000000;8.596756;123158204.081633;0.055102;0.000100;1.240679;-6.879880;5.962402
Container groesser 145000 GT FS;Electrical;-94;0.370400;0.187593;0.100900;0.352416;9643853060.067532;-310.128567;0.129476;0.000000;0.000000;358.198185;5131591836.734695;2.295918;0.004147;51.694958;-286.661675;248.433416
Container groesser 145000 GT FS;Propulsion;-92;0.493867;0.006003;0.003229;0.011277;308603297.922161;-9.924114;0.004143;0.000000;0.000000;11.462342;164210938.775510;0.073469;0.000133;1.654239;-9.173174;7.949869
Container groesser 145000 GT FS;Electrical;-92;0.493867;0.187593;0.100900;0.352416;9643853060.067532;-310.128567;0.129476;0.000000;0.000000;358.198185;5131591836.734695;2.295918;0.004147;51.694958;-286.661675;248.433416
