Sensitivity Analysis - Cruise - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];SOx (Well to tank) [kg];NOx (Well to tank) [kg];Energy (Well to tank) [J];PM (Well to tank) [kg];CO2 (Well to tank) [kg];CH4 (Well to tank) [kg];Energy [J];CH4 [kg];CO2 [kg];SOx [kg];PM [kg];NOx [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Cruise groesser 25000 GT Tier I;Electrical;-100;0.000000;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Cruise groesser 25000 GT Tier I;Electrical;-98;0.123467;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-98;0.123467;0.000487;0.000542;2842956.226313;0.000054;0.159852;0.000560;14137606.492286;0.000000;1.062101;0.000757;0.000414;0.027077;1.237636;-0.589909;0.331285
Cruise groesser 25000 GT Tier I;Electrical;-96;0.246933;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-96;0.246933;0.000974;0.001085;5685731.208390;0.000107;0.319695;0.001120;28274311.683429;0.000000;2.124135;0.001514;0.000828;0.054154;2.475192;-1.179795;0.662550
Cruise groesser 25000 GT Tier I;Electrical;-94;0.370400;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-94;0.370400;0.001461;0.001627;8528324.946230;0.000161;0.479527;0.001680;42410115.573429;0.000000;3.186100;0.002272;0.001242;0.081231;3.712670;-1.769658;0.993793
Cruise groesser 25000 GT Tier I;Electrical;-92;0.493867;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-92;0.493867;0.001948;0.002169;11370737.439833;0.000214;0.639348;0.002240;56545018.162286;0.000000;4.247998;0.003029;0.001656;0.108308;4.950069;-2.359498;1.325015
Cruise groesser 25000 GT Tier I;Electrical;-90;0.617333;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-90;0.617333;0.002435;0.002711;14212968.689200;0.000268;0.799160;0.002800;70679019.450000;0.000000;5.309829;0.003786;0.002071;0.135385;6.187389;-2.949315;1.656216
Cruise groesser 25000 GT Tier I;Electrical;-88;0.740800;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-88;0.740800;0.002922;0.003253;17055018.694330;0.000321;0.958961;0.003360;84812119.436571;0.000000;6.371591;0.004543;0.002485;0.162462;7.424630;-3.539108;1.987396
Cruise groesser 25000 GT Tier I;Electrical;-86;0.864267;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-86;0.864267;0.003409;0.003795;19896887.455224;0.000375;1.118753;0.003920;98944318.122000;0.000000;7.433286;0.005300;0.002899;0.189540;8.661792;-4.128878;2.318555
Cruise groesser 25000 GT Tier I;Electrical;-84;0.987733;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-84;0.987733;0.003896;0.004337;22738574.971881;0.000429;1.278534;0.004480;113075615.506286;0.000000;8.494913;0.006056;0.003313;0.216617;9.898875;-4.718625;2.649692
Cruise groesser 25000 GT Tier I;Electrical;-82;1.111200;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-82;1.111200;0.006281;0.006991;36652940.048753;0.000691;2.060904;0.007221;182269722.762000;0.000000;13.693186;0.009762;0.005341;0.349225;15.956272;-7.606539;4.271112
Cruise groesser 25000 GT Tier I;Electrical;-80;1.234667;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-80;1.234667;0.009612;0.010700;56096625.249481;0.001057;3.154174;0.011051;278960332.199999;0.000000;20.957161;0.014941;0.008176;0.534599;24.420770;-11.642639;6.536856
Cruise groesser 25000 GT Tier I;Electrical;-78;1.358133;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-78;1.358133;0.012943;0.014407;75531815.565014;0.001424;4.246966;0.014880;375608697.813429;0.000000;28.217961;0.020118;0.011011;0.719973;32.881569;-15.677653;8.801610
Cruise groesser 25000 GT Tier I;Electrical;-76;1.481600;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-76;1.481600;0.016271;0.018113;94958510.995352;0.001790;5.339281;0.018707;472214819.602285;0.000000;35.475588;0.025292;0.013846;0.905346;41.338671;-19.711581;11.065374
Cruise groesser 25000 GT Tier I;Electrical;-74;1.605067;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-74;1.605067;0.019599;0.021817;114376711.540494;0.002156;6.431118;0.022533;568778697.566572;0.000000;42.730041;0.030464;0.016682;1.090720;49.792074;-23.744423;13.328148
Cruise groesser 25000 GT Tier I;Electrical;-72;1.728533;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-72;1.728533;0.022925;0.025519;133786417.200441;0.002522;7.522478;0.026356;665300331.706286;0.000000;49.981321;0.035634;0.019517;1.276094;58.241779;-27.776178;15.589932
Cruise groesser 25000 GT Tier I;Electrical;-70;1.852000;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-70;1.852000;0.026249;0.029220;153187627.975193;0.002887;8.613360;0.030179;761779722.021429;0.000000;57.229427;0.040801;0.022352;1.461468;66.687787;-31.806848;17.850726
Cruise groesser 25000 GT Tier I;Electrical;-68;1.975467;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-68;1.975467;0.029572;0.032919;172580343.864750;0.003253;9.703764;0.033999;858216868.512000;0.000000;64.474359;0.045967;0.025187;1.646842;75.130096;-35.836431;20.110530
Cruise groesser 25000 GT Tier I;Electrical;-66;2.098933;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-66;2.098933;0.035157;0.039136;205172910.377839;0.003867;11.536363;0.040420;1020294946.137999;0.000000;76.650629;0.054648;0.029955;1.958575;89.318749;-42.610323;23.908493
Cruise groesser 25000 GT Tier I;Electrical;-64;2.222400;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-64;2.222400;0.045259;0.050381;264126828.358964;0.004978;14.851195;0.052034;1313464178.179428;0.000000;98.675247;0.070350;0.038587;2.523028;114.983395;-54.867928;30.778305
Cruise groesser 25000 GT Tier I;Electrical;-62;2.345867;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-62;2.345867;0.055347;0.061611;323001984.458555;0.006088;18.161599;0.063633;1606241738.876287;0.000000;120.670440;0.086031;0.047220;3.087481;140.613754;-67.115463;37.638939
Cruise groesser 25000 GT Tier I;Electrical;-60;2.469333;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-60;2.469333;0.065422;0.072826;381798378.676613;0.007196;21.467574;0.075216;1898627628.228574;0.000000;142.636208;0.101692;0.055853;3.651934;166.209825;-79.352928;44.490396
Cruise groesser 25000 GT Tier I;Electrical;-58;2.592800;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-58;2.592800;0.075483;0.084026;440516011.013136;0.008303;24.769121;0.086783;2190621846.236287;0.000000;164.572552;0.117331;0.064486;4.216387;191.771608;-91.580323;51.332674
Cruise groesser 25000 GT Tier I;Electrical;-56;2.716267;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
Cruise groesser 25000 GT Tier I;Propulsion;-56;2.716267;0.085531;0.095211;499154881.468125;0.009408;28.066238;0.098336;2482224392.899428;0.000000;186.479471;0.132950;0.073119;4.780840;217.299104;-103.797648;58.165774
Cruise groesser 25000 GT Tier I;Electrical;-54;2.839733;0.864783;0.962654;5046828725.026280;0.095124;283.770637;0.994246;25097142857.142860;0.000000;1885.446749;1.344219;0.796385;35.224705;2197.056261;-945.920890;588.099423
