Sensitivity Analysis - Diverse - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];NOx (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];PM (Well to tank) [kg];CO2 (Well to tank) [kg];GWP [kg];SOx [kg];CO2 [kg];CH4 [kg];NOx [kg];PM [kg];Energy [J];NPV [EUR];Fuel Consumption [kg]
Diverse groesser 2000 GT Tier I;Electrical;-100;0.000000;420569060.418857;0.080221;0.072065;0.082854;0.007927;23.647553;183.088022;0.112018;157.120562;0.000000;2.935392;0.066365;2091428571.428572;-78.826741;49.008285
Diverse groesser 2000 GT Tier I;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Diverse groesser 2000 GT Tier I;Electrical;-98;0.123467;420569060.418857;0.080221;0.072065;0.082854;0.007927;23.647553;183.088022;0.112018;157.120562;0.000000;2.935392;0.066365;2091428571.428572;-78.826741;49.008285
Diverse groesser 2000 GT Tier I;Propulsion;-98;0.123467;2186905.491623;0.000417;0.000375;0.000431;0.000041;0.122964;0.952034;0.000582;0.817007;0.000000;0.020829;0.000319;10875161.914286;-0.453778;0.254837
Diverse groesser 2000 GT Tier I;Electrical;-96;0.246933;420569060.418857;0.080221;0.072065;0.082854;0.007927;23.647553;183.088022;0.112018;157.120562;0.000000;2.935392;0.066365;2091428571.428572;-78.826741;49.008285
Diverse groesser 2000 GT Tier I;Propulsion;-96;0.246933;4373703.738135;0.000834;0.000749;0.000862;0.000082;0.245922;1.904022;0.001165;1.633974;0.000000;0.041657;0.000637;21749790.514286;-0.907543;0.509661
Diverse groesser 2000 GT Tier I;Electrical;-94;0.370400;420569060.418857;0.080221;0.072065;0.082854;0.007927;23.647553;183.088022;0.112018;157.120562;0.000000;2.935392;0.066365;2091428571.428572;-78.826741;49.008285
Diverse groesser 2000 GT Tier I;Propulsion;-94;0.370400;6560394.739537;0.001251;0.001124;0.001292;0.000124;0.368875;2.855963;0.001747;2.450900;0.000000;0.062486;0.000956;32623885.800000;-1.361294;0.764473
Diverse groesser 2000 GT Tier I;Electrical;-92;0.493867;420569060.418857;0.080221;0.072065;0.082854;0.007927;23.647553;183.088022;0.112018;157.120562;0.000000;2.935392;0.066365;2091428571.428572;-78.826741;49.008285
Diverse groesser 2000 GT Tier I;Propulsion;-92;0.493867;8746978.495829;0.001668;0.001499;0.001723;0.000165;0.491821;3.807857;0.002330;3.267787;0.000000;0.083314;0.001274;43497447.771429;-1.815031;1.019272
