 Tier IISensitivity Analysis - Frachtschiff - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];PM (Well to tank) [kg];CH4 (Well to tank) [kg];SOx (Well to tank) [kg];NOx (Well to tank) [kg];CO2 (Well to tank) [kg];NOx [kg];SOx [kg];CO2 [kg];CH4 [kg];Energy [J];PM [kg];NPV [EUR];GWP [kg];Fuel Consumption [kg]
MPV 12000-20000 t dwt Tier I;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
MPV 12000-20000 t dwt Tier I;Electrical;-100;0.000000;588796684.586399;0.011098;0.115995;0.100891;0.112310;33.106574;4.109549;0.156826;219.968787;0.000000;2928000000.000000;0.092912;-110.357437;256.323231;68.611599
MPV 12000-20000 t dwt Tier I;Propulsion;-98;0.102889;3280318.020518;0.000062;0.000646;0.000562;0.000626;0.184444;0.031243;0.000874;1.225495;0.000000;16312542.878571;0.000478;-0.680663;1.428034;0.382251
MPV 12000-20000 t dwt Tier I;Electrical;-98;0.102889;588796684.586399;0.011098;0.115995;0.100891;0.112310;33.106574;4.109549;0.156826;219.968787;0.000000;2928000000.000000;0.092912;-110.357437;256.323231;68.611599
MPV 12000-20000 t dwt Tier I;Propulsion;-96;0.205778;6560394.739537;0.000124;0.001292;0.001124;0.001251;0.368875;0.062486;0.001747;2.450900;0.000000;32623885.800000;0.000956;-1.361294;2.855963;0.764473
MPV 12000-20000 t dwt Tier I;Electrical;-96;0.205778;588796684.586399;0.011098;0.115995;0.100891;0.112310;33.106574;4.109549;0.156826;219.968787;0.000000;2928000000.000000;0.092912;-110.357437;256.323231;68.611599
MPV 12000-20000 t dwt Tier I;Propulsion;-94;0.308667;9840230.157058;0.000185;0.001939;0.001686;0.001877;0.553292;0.093728;0.002621;3.676215;0.000000;48934028.764286;0.001433;-2.041895;4.283787;1.146667
MPV 12000-20000 t dwt Tier I;Electrical;-94;0.308667;588796684.586399;0.011098;0.115995;0.100891;0.112310;33.106574;4.109549;0.156826;219.968787;0.000000;2928000000.000000;0.092912;-110.357437;256.323231;68.611599
MPV 12000-20000 t dwt Tier I;Propulsion;-92;0.411556;13119824.273081;0.000247;0.002585;0.002248;0.002503;0.737695;0.124971;0.003494;4.901440;0.000000;65242971.771428;0.001911;-2.722465;5.711506;1.528834
MPV 12000-20000 t dwt Tier I;Electrical;-92;0.411556;588796684.586399;0.011098;0.115995;0.100891;0.112310;33.106574;4.109549;0.156826;219.968787;0.000000;2928000000.000000;0.092912;-110.357437;256.323231;68.611599
MPV 12000-20000 t dwt Tier I;Propulsion;-90;0.514444;16399177.087605;0.000309;0.003231;0.002810;0.003128;0.922085;0.156214;0.004368;6.126575;0.000000;81550714.821429;0.002389;-3.403004;7.139120;1.910972
MPV 12000-20000 t dwt Tier I;Electrical;-90;0.514444;588796684.586399;0.011098;0.115995;0.100891;0.112310;33.106574;4.109549;0.156826;219.968787;0.000000;2928000000.000000;0.092912;-110.357437;256.323231;68.611599
MPV 12000-20000 t dwt Tier I;Propulsion;-88;0.617333;19678288.600631;0.000371;0.003877;0.003372;0.003754;1.106461;0.187457;0.005241;7.351620;0.000000;97857257.914286;0.002867;-4.083512;8.566629;2.293082
