Sensitivity Analysis - Ro-Pax - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];NOx (Well to tank) [kg];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];Energy (Well to tank) [J];PM (Well to tank) [kg];GWP [kg];PM [kg];CO2 [kg];CH4 [kg];Energy [J];SOx [kg];NOx [kg];NPV [EUR];Fuel Consumption [kg]
Ro-Pax groesser 25000 GT Tier I;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Ro-Pax groesser 25000 GT Tier I;Electrical;-100;0.000000;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-98;0.123467;0.000542;0.159852;0.000487;0.000560;2842956.226313;0.000054;1.237636;0.000414;1.062101;0.000000;14137606.492286;0.000757;0.027077;-0.589909;0.331285
Ro-Pax groesser 25000 GT Tier I;Electrical;-98;0.123467;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-96;0.246933;0.001085;0.319695;0.000974;0.001120;5685731.208390;0.000107;2.475192;0.000828;2.124135;0.000000;28274311.683429;0.001514;0.054154;-1.179795;0.662550
Ro-Pax groesser 25000 GT Tier I;Electrical;-96;0.246933;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-94;0.370400;0.001627;0.479527;0.001461;0.001680;8528324.946230;0.000161;3.712670;0.001242;3.186100;0.000000;42410115.573429;0.002272;0.081231;-1.769658;0.993793
Ro-Pax groesser 25000 GT Tier I;Electrical;-94;0.370400;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-92;0.493867;0.002169;0.639348;0.001948;0.002240;11370737.439833;0.000214;4.950069;0.001656;4.247998;0.000000;56545018.162286;0.003029;0.108308;-2.359498;1.325015
Ro-Pax groesser 25000 GT Tier I;Electrical;-92;0.493867;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-90;0.617333;0.002711;0.799160;0.002435;0.002800;14212968.689200;0.000268;6.187389;0.002071;5.309829;0.000000;70679019.450000;0.003786;0.135385;-2.949315;1.656216
Ro-Pax groesser 25000 GT Tier I;Electrical;-90;0.617333;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-88;0.740800;0.003253;0.958961;0.002922;0.003360;17055018.694330;0.000321;7.424630;0.002485;6.371591;0.000000;84812119.436571;0.004543;0.162462;-3.539108;1.987396
Ro-Pax groesser 25000 GT Tier I;Electrical;-88;0.740800;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-86;0.864267;0.003795;1.118753;0.003409;0.003920;19896887.455224;0.000375;8.661792;0.002899;7.433286;0.000000;98944318.122000;0.005300;0.189540;-4.128878;2.318555
Ro-Pax groesser 25000 GT Tier I;Electrical;-86;0.864267;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-84;0.987733;0.004337;1.278534;0.003896;0.004480;22738574.971881;0.000429;9.898875;0.003313;8.494913;0.000000;113075615.506286;0.006056;0.216617;-4.718625;2.649692
Ro-Pax groesser 25000 GT Tier I;Electrical;-84;0.987733;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-82;1.111200;0.006991;2.060904;0.006281;0.007221;36652940.048753;0.000691;15.956272;0.005341;13.693186;0.000000;182269722.762000;0.009762;0.349225;-7.606539;4.271112
Ro-Pax groesser 25000 GT Tier I;Electrical;-82;1.111200;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-80;1.234667;0.010700;3.154174;0.009612;0.011051;56096625.249481;0.001057;24.420770;0.008176;20.957161;0.000000;278960332.199999;0.014941;0.534599;-11.642639;6.536856
Ro-Pax groesser 25000 GT Tier I;Electrical;-80;1.234667;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-78;1.358133;0.014407;4.246966;0.012943;0.014880;75531815.565014;0.001424;32.881569;0.011011;28.217961;0.000000;375608697.813429;0.020118;0.719973;-15.677653;8.801610
Ro-Pax groesser 25000 GT Tier I;Electrical;-78;1.358133;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-76;1.481600;0.018113;5.339281;0.016271;0.018707;94958510.995352;0.001790;41.338671;0.013846;35.475588;0.000000;472214819.602285;0.025292;0.905346;-19.711581;11.065374
Ro-Pax groesser 25000 GT Tier I;Electrical;-76;1.481600;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-74;1.605067;0.021817;6.431118;0.019599;0.022533;114376711.540494;0.002156;49.792074;0.016682;42.730041;0.000000;568778697.566572;0.030464;1.090720;-23.744423;13.328148
Ro-Pax groesser 25000 GT Tier I;Electrical;-74;1.605067;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-72;1.728533;0.025519;7.522478;0.022925;0.026356;133786417.200441;0.002522;58.241779;0.019517;49.981321;0.000000;665300331.706286;0.035634;1.276094;-27.776178;15.589932
Ro-Pax groesser 25000 GT Tier I;Electrical;-72;1.728533;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-70;1.852000;0.029220;8.613360;0.026249;0.030179;153187627.975193;0.002887;66.687787;0.022352;57.229427;0.000000;761779722.021429;0.040801;1.461468;-31.806848;17.850726
Ro-Pax groesser 25000 GT Tier I;Electrical;-70;1.852000;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-68;1.975467;0.032919;9.703764;0.029572;0.033999;172580343.864750;0.003253;75.130096;0.025187;64.474359;0.000000;858216868.512000;0.045967;1.646842;-35.836431;20.110530
Ro-Pax groesser 25000 GT Tier I;Electrical;-68;1.975467;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-66;2.098933;0.039136;11.536363;0.035157;0.040420;205172910.377839;0.003867;89.318749;0.029955;76.650629;0.000000;1020294946.137999;0.054648;1.958575;-42.610323;23.908493
Ro-Pax groesser 25000 GT Tier I;Electrical;-66;2.098933;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-64;2.222400;0.050381;14.851195;0.045259;0.052034;264126828.358964;0.004978;114.983395;0.038587;98.675247;0.000000;1313464178.179428;0.070350;2.523028;-54.867928;30.778305
Ro-Pax groesser 25000 GT Tier I;Electrical;-64;2.222400;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-62;2.345867;0.061611;18.161599;0.055347;0.063633;323001984.458555;0.006088;140.613754;0.047220;120.670440;0.000000;1606241738.876287;0.086031;3.087481;-67.115463;37.638939
Ro-Pax groesser 25000 GT Tier I;Electrical;-62;2.345867;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-60;2.469333;0.072826;21.467574;0.065422;0.075216;381798378.676613;0.007196;166.209825;0.055853;142.636208;0.000000;1898627628.228574;0.101692;3.651934;-79.352928;44.490396
Ro-Pax groesser 25000 GT Tier I;Electrical;-60;2.469333;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-58;2.592800;0.084026;24.769121;0.075483;0.086783;440516011.013136;0.008303;191.771608;0.064486;164.572552;0.000000;2190621846.236287;0.117331;4.216387;-91.580323;51.332674
Ro-Pax groesser 25000 GT Tier I;Electrical;-58;2.592800;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-56;2.716267;0.095211;28.066238;0.085531;0.098336;499154881.468125;0.009408;217.299104;0.073119;186.479471;0.000000;2482224392.899428;0.132950;4.780840;-103.797648;58.165774
Ro-Pax groesser 25000 GT Tier I;Electrical;-56;2.716267;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-54;2.839733;0.106381;31.358928;0.095565;0.109872;557714990.041581;0.010512;242.792311;0.081752;208.356965;0.000000;2773435268.218000;0.148547;5.345293;-116.004904;64.989696
Ro-Pax groesser 25000 GT Tier I;Electrical;-54;2.839733;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-52;2.963200;0.117536;34.647189;0.105586;0.121393;616196336.733503;0.011614;268.251231;0.090384;230.205034;0.000000;3064254472.192001;0.164123;5.909746;-128.202089;71.804440
Ro-Pax groesser 25000 GT Tier I;Electrical;-52;2.963200;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-50;3.086667;0.128676;37.931021;0.115594;0.132899;674598921.543891;0.012715;293.675864;0.099017;252.023679;0.000000;3354682004.821429;0.179679;6.474199;-140.389205;78.610006
Ro-Pax groesser 25000 GT Tier I;Electrical;-50;3.086667;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-48;3.210133;0.144845;42.697401;0.130119;0.149599;759368456.139743;0.014313;330.578926;0.111568;283.692763;0.000000;3776228531.481999;0.202257;7.294842;-158.089779;88.488073
Ro-Pax groesser 25000 GT Tier I;Electrical;-48;3.210133;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-46;3.333600;0.160983;47.454420;0.144616;0.166266;843971507.716005;0.015907;367.409513;0.124119;315.299651;0.000000;4196947162.377999;0.224791;8.115486;-175.769067;98.346741
Ro-Pax groesser 25000 GT Tier I;Electrical;-46;3.333600;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-44;3.457067;0.177089;52.202079;0.159084;0.182900;928408076.272675;0.017499;404.167625;0.136670;346.844342;0.000000;4616837897.509428;0.247281;8.936130;-193.427070;108.186008
Ro-Pax groesser 25000 GT Tier I;Electrical;-44;3.457067;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-42;3.580533;0.193163;56.940376;0.173524;0.199502;1012678161.809755;0.019087;440.853260;0.149221;378.326837;0.000000;5035900736.876286;0.269726;9.756774;-211.063788;118.005875
Ro-Pax groesser 25000 GT Tier I;Electrical;-42;3.580533;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-40;3.704000;0.209205;61.669313;0.187936;0.216070;1096781764.327243;0.020673;477.466420;0.161772;409.747135;0.000000;5454135680.478569;0.292127;10.577417;-228.679221;127.806343
Ro-Pax groesser 25000 GT Tier I;Electrical;-40;3.704000;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-38;3.827467;0.225215;66.388888;0.202318;0.232606;1180718883.825140;0.022255;514.007104;0.174323;441.105237;0.000000;5871542728.316286;0.314484;11.398061;-246.273368;137.587410
Ro-Pax groesser 25000 GT Tier I;Electrical;-38;3.827467;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-36;3.950933;0.241194;71.099103;0.216673;0.249110;1264489520.303446;0.023834;550.475312;0.186874;472.401142;0.000000;6288121880.389428;0.336796;12.218705;-263.846230;147.349077
Ro-Pax groesser 25000 GT Tier I;Electrical;-36;3.950933;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-34;4.074400;0.257141;75.799957;0.230998;0.265580;1348093673.762161;0.025409;586.871045;0.199425;503.634851;0.000000;6703873136.698001;0.359064;13.039349;-281.397806;157.091345
Ro-Pax groesser 25000 GT Tier I;Electrical;-34;4.074400;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-32;4.197867;0.281365;82.940636;0.252759;0.290599;1475089838.577011;0.027803;642.156796;0.218539;551.079399;0.000000;7335406534.069425;0.392889;14.289060;-308.085207;171.890018
Ro-Pax groesser 25000 GT Tier I;Electrical;-32;4.197867;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-30;4.321333;0.309654;91.279513;0.278172;0.319816;1623395824.253385;0.030598;706.719438;0.240933;606.485091;0.000000;8072910561.228573;0.432390;15.753305;-339.291146;189.171894
Ro-Pax groesser 25000 GT Tier I;Electrical;-30;4.321333;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-28;4.444800;0.337841;99.588588;0.303494;0.348928;1771171794.942067;0.033384;771.051346;0.263327;661.692775;0.000000;8807778901.189425;0.471750;17.217550;-370.429320;206.392007
Ro-Pax groesser 25000 GT Tier I;Electrical;-28;4.444800;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-26;4.568267;0.365927;107.867862;0.328724;0.377936;1918417750.643060;0.036159;835.152521;0.285722;716.702450;0.000000;9540011553.951998;0.510969;18.681795;-401.499731;223.550359
Ro-Pax groesser 25000 GT Tier I;Electrical;-26;4.568267;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-24;4.691733;0.393913;116.117335;0.353864;0.406840;2065133691.356363;0.038924;899.022962;0.308116;771.514116;0.000000;10269608519.516290;0.550047;20.146040;-432.502377;240.646948
Ro-Pax groesser 25000 GT Tier I;Electrical;-24;4.691733;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-22;4.815200;0.421797;124.337006;0.378914;0.435639;2211319617.081974;0.041680;962.662669;0.330510;826.127774;0.000000;10996569797.882284;0.588983;21.610285;-463.437259;257.681776
Ro-Pax groesser 25000 GT Tier I;Electrical;-22;4.815200;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-20;4.938667;0.449580;132.526876;0.403872;0.464334;2356975527.819896;0.044425;1026.071643;0.352905;880.543424;0.000000;11720895389.050000;0.627779;23.074530;-494.304378;274.654842
Ro-Pax groesser 25000 GT Tier I;Electrical;-20;4.938667;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-18;5.062133;0.477262;140.686945;0.428740;0.492924;2502101423.570127;0.047161;1089.249883;0.375299;934.761065;0.000000;12442585293.019432;0.666433;24.538775;-525.103732;291.566146
Ro-Pax groesser 25000 GT Tier I;Electrical;-18;5.062133;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
Ro-Pax groesser 25000 GT Tier I;Propulsion;-16;5.185600;0.509345;150.144362;0.457561;0.526060;2670300526.300098;0.050331;1162.472676;0.401357;997.598635;0.000000;13279014888.643430;0.711232;26.242548;-560.856089;311.166137
Ro-Pax groesser 25000 GT Tier I;Electrical;-16;5.185600;0.192531;56.754127;0.172957;0.198849;1009365745.005256;0.019025;439.411252;0.159277;377.089350;0.000000;5019428571.428573;0.268844;7.044941;-189.184178;117.619885
