Sensitivity Analysis (Ro-Ro - 1 Hour - Speed)

Type;Component;Input (delta) [%];Speed [m/second];SOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 (Well to tank) [kg];NOx (Well to tank) [kg];Energy (Well to tank) [J];CH4 (Well to tank) [kg];GWP [kg];NOx [kg];CO2 [kg];Energy [J];PM [kg];SOx [kg];CH4 [kg];NPV [EUR];Fuel Consumption [kg]
Ro-Ro groesser 25000 GT Tier I;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Ro-Ro groesser 25000 GT Tier I;Electrical;-100;0.000000;0.129718;0.014269;42.565595;0.144398;757024308.753942;0.149137;329.558439;5.283706;282.817012;3764571428.571429;0.119458;0.201633;0.000000;-141.888134;88.214913
Ro-Ro groesser 25000 GT Tier I;Propulsion;-98;0.123467;0.000600;0.000066;0.196740;0.000667;3498997.308944;0.000689;1.523233;0.033326;1.307192;17400003.072000;0.000510;0.000932;0.000000;-0.726039;0.407733
Ro-Ro groesser 25000 GT Tier I;Electrical;-98;0.123467;0.129718;0.014269;42.565595;0.144398;757024308.753942;0.149137;329.558439;5.283706;282.817012;3764571428.571429;0.119458;0.201633;0.000000;-141.888134;88.214913
Ro-Ro groesser 25000 GT Tier I;Propulsion;-96;0.246933;0.001199;0.000132;0.393464;0.001335;6997720.070404;0.001379;3.046346;0.066651;2.614281;34798640.859429;0.001019;0.001864;0.000000;-1.452043;0.815434
Ro-Ro groesser 25000 GT Tier I;Electrical;-96;0.246933;0.129718;0.014269;42.565595;0.144398;757024308.753942;0.149137;329.558439;5.283706;282.817012;3764571428.571429;0.119458;0.201633;0.000000;-141.888134;88.214913
Ro-Ro groesser 25000 GT Tier I;Propulsion;-94;0.370400;0.001799;0.000198;0.590173;0.002002;10496168.284383;0.002068;4.569339;0.099977;3.921268;52195913.362286;0.001529;0.002796;0.000000;-2.178011;1.223103
Ro-Ro groesser 25000 GT Tier I;Electrical;-94;0.370400;0.129718;0.014269;42.565595;0.144398;757024308.753942;0.149137;329.558439;5.283706;282.817012;3764571428.571429;0.119458;0.201633;0.000000;-141.888134;88.214913
Ro-Ro groesser 25000 GT Tier I;Propulsion;-92;0.493867;0.002398;0.000264;0.786867;0.002669;13994341.950878;0.002757;6.092213;0.133303;5.228152;69591820.580571;0.002039;0.003727;0.000000;-2.903945;1.630740
Ro-Ro groesser 25000 GT Tier I;Electrical;-92;0.493867;0.129718;0.014269;42.565595;0.144398;757024308.753942;0.149137;329.558439;5.283706;282.817012;3764571428.571429;0.119458;0.201633;0.000000;-141.888134;88.214913
