Sensitivity Analysis - Tanker - 1 Hour - Speed

Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Electrical;-100;0.000000;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-100;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Tanker SuezMax FS;Electrical;-98;0.102889;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-98;0.102889;70721589.107162;-2.274276;0.002584;0.000949;0.001376;0.000740;2.626787;0.000000;37631673.469388;0.000000;0.016837;0.000030;0.379096;-2.102186;1.821845
Tanker SuezMax FS;Electrical;-96;0.205778;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-96;0.205778;141443178.214324;-4.548552;0.005169;0.001899;0.002751;0.001480;5.253573;0.000000;75263346.938776;0.000000;0.033673;0.000061;0.758193;-4.204371;3.643690
Tanker SuezMax FS;Electrical;-94;0.308667;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-94;0.308667;212164767.321486;-6.822828;0.007753;0.002848;0.004127;0.002220;7.880360;0.000000;112895020.408164;0.000000;0.050510;0.000091;1.137289;-6.306557;5.465535
Tanker SuezMax FS;Electrical;-92;0.411556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-92;0.411556;282886356.428647;-9.097105;0.010338;0.003798;0.005503;0.002960;10.507147;0.000000;150526693.877551;0.000000;0.067347;0.000122;1.516385;-8.408742;7.287380
Tanker SuezMax FS;Electrical;-90;0.514444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-90;0.514444;353607945.535810;-11.371381;0.012922;0.004747;0.006878;0.003700;13.133933;0.000000;188158367.346939;0.000000;0.084184;0.000152;1.895482;-10.510928;9.109225
Tanker SuezMax FS;Electrical;-88;0.617333;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-88;0.617333;424329534.642971;-13.645657;0.015506;0.005697;0.008254;0.004440;15.760720;0.000000;225790040.816326;0.000000;0.101020;0.000182;2.274578;-12.613114;10.931070
Tanker SuezMax FS;Electrical;-86;0.720222;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-86;0.720222;495051123.750133;-15.919933;0.018091;0.006646;0.009630;0.005180;18.387507;0.000000;263421714.285714;0.000000;0.117857;0.000213;2.653675;-14.715299;12.752915
Tanker SuezMax FS;Electrical;-84;0.823111;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-84;0.823111;565772712.857295;-18.194209;0.020675;0.007596;0.011005;0.005919;21.014294;0.000000;301053387.755102;0.000000;0.134694;0.000243;3.032771;-16.817485;14.574760
Tanker SuezMax FS;Electrical;-82;0.926000;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-82;0.926000;636494301.964458;-20.468485;0.023259;0.008545;0.012381;0.006659;23.641080;0.000000;338685061.224490;0.000000;0.151531;0.000274;3.411867;-18.919671;16.396605
Tanker SuezMax FS;Electrical;-80;1.028889;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-80;1.028889;707215891.071619;-22.742762;0.025844;0.009495;0.013757;0.007399;26.267867;0.000000;376316734.693878;0.000000;0.168367;0.000304;3.790964;-21.021856;18.218451
Tanker SuezMax FS;Electrical;-78;1.131778;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-78;1.131778;1152440440.678068;-37.060364;0.042114;0.015472;0.022417;0.012058;42.804683;0.000000;613225224.489795;0.000000;0.274362;0.000496;6.177547;-34.256070;29.687793
Tanker SuezMax FS;Electrical;-76;1.234667;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-76;1.234667;1597664990.284523;-51.377966;0.058384;0.021450;0.031078;0.016716;59.341499;0.000000;850133714.285715;0.000000;0.380357;0.000687;8.564131;-47.490284;41.157136
Tanker SuezMax FS;Electrical;-74;1.337556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-74;1.337556;2042889539.890970;-65.695568;0.074653;0.027427;0.039738;0.021374;75.878316;0.000000;1087042204.081632;0.000000;0.486352;0.000879;10.950715;-60.724498;52.626479
Tanker SuezMax FS;Electrical;-72;1.440444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-72;1.440444;2488114089.497425;-80.013170;0.090923;0.033405;0.048399;0.026032;92.415132;0.000000;1323950693.877552;0.000000;0.592347;0.001070;13.337299;-73.958712;64.095821
Tanker SuezMax FS;Electrical;-70;1.543333;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.100900;358.198185;0.000000;5131591836.734695;0.000000;2.295918;0.004147;51.694958;-286.661675;248.433416
Tanker SuezMax FS;Propulsion;-70;1.543333;2933338639.103875;-94.330773;0.107193;0.039382;0.057059;0.030690;108.951948;0.000000;1560859183.673470;0.000000;0.698342;0.001262;15.723883;-87.192926;75.565164
