Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Electrical;-100;0.0;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tanker SuezMax FS;Electrical;-98;0.10288900000000001;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-98;0.10288900000000001;70721589.107162;-2.274276;0.002584;0.000949;0.001376;0.00074;2.6267869999999998;0.0;37631673.469388;0.0;0.016837;2.9999999999999997e-05;0.379096;-2.102186;1.8218450000000002
Tanker SuezMax FS;Electrical;-96;0.20577800000000002;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-96;0.20577800000000002;141443178.214324;-4.548552;0.005169;0.0018989999999999999;0.002751;0.00148;5.253573;0.0;75263346.938776;0.0;0.033673;6.1e-05;0.758193;-4.204371;3.6436900000000003
Tanker SuezMax FS;Electrical;-94;0.308667;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-94;0.308667;212164767.321486;-6.8228279999999994;0.007753;0.002848;0.0041270000000000005;0.0022199999999999998;7.8803600000000005;0.0;112895020.408164;0.0;0.05051;9.1e-05;1.137289;-6.306557;5.465535
Tanker SuezMax FS;Electrical;-92;0.41155600000000003;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-92;0.41155600000000003;282886356.42864704;-9.097105;0.010338;0.0037979999999999997;0.005503;0.00296;10.507147;0.0;150526693.877551;0.0;0.067347;0.000122;1.516385;-8.408742;7.287380000000001
