Type,Speed [m/second]
Bulker Handy Max FS,8.231111
Bulker Handy Max Tier I,8.231111
Bulker Handy Max Tier II,8.231111
Bulker Handy Size FS,8.231111
Bulker Handy Size Tier I,8.231111
Bulker Handy Size Tier II,8.231111
Bulker PanMax FS,8.231111
Bulker PanMax Tier I,8.231111
Bulker PanMax Tier II,8.231111
Bulker SuezMax FS,8.231111
Bulker SuezMax Tier I,8.231111
Bulker SuezMax Tier II,8.231111
Car Carrier bis 40000 GT FS,12.346667
Car Carrier bis 40000 GT Tier I,12.346667
Car Carrier bis 40000 GT Tier II,12.346667
Car Carrier groesser 40000 GT  Tier II,12.346667
Car Carrier groesser 40000 GT FS,12.346667
Car Carrier groesser 40000 GT Tier I,12.346667
Conatiner bis 17500 GT Tier I,10.288889
Container 17500 - 55000 GT FS,12.346667
Container 17500-55000 GT Tier I,12.346667
Container 17500-55000 GT Tier II,12.346667
Container 55000 - 145000 GT Tier I,12.346667
Container 55000 - 145000 GT Tier II,12.346667
Container 55000- 145000 GT FS,12.346667
Container bis 17500 GT FS,10.288889
Container bis 17500 GT Tier II,10.288889
Container groesser 145000 GT FS,12.346667
Container groesser 145000 GT Tier I,12.346667
Container grosser 145000 GT Tier II,12.346667
Cruise bis 25000 GT FS,10.288889
Cruise bis 25000 GT Tier I,10.288889
Cruise bis 25000 GT Tier II,10.288889
Cruise groesser 25000 GT  Tier II,12.346667
Cruise groesser 25000 GT FS,12.346667
Cruise groesser 25000 GT Tier I,12.346667
Diverse bis 2000 GT FS,8.231111
Diverse bis 2000 GT Tier I,8.231111
Diverse bis 2000 GT Tier II,8.231111
Diverse groesser 2000 GT  Tier II,12.346667
Diverse groesser 2000 GT FS,12.346667
Diverse groesser 2000 GT Tier I,12.346667
MPV 12000 - 20000 t dwt  Tier II,10.288889
MPV 12000 - 20000 t dwt FS,10.288889
MPV 12000 - 20000 t dwt Tier I,10.288889
MPV bis 12000 tdwt FS,8.231111
MPV bis 12000 tdwt Tier I,8.231111
MPV bis 12000 tdwt Tier II,8.231111
Ro-Pax bis 25000 GT FS,10.288889
Ro-Pax bis 25000 GT Tier I,10.288889
Ro-Pax bis 25000 GT Tier II,10.288889
Ro-Pax groesser 25000 GT  Tier II,12.346667
Ro-Pax groesser 25000 GT FS,12.346667
Ro-Pax groesser 25000 GT Tier I,12.346667
Ro-Ro bis 25000 GT FS,12.346667
Ro-Ro bis 25000 GT Tier I,12.346667
Ro-Ro bis 25000 GT Tier II,12.346667
Ro-Ro groesser 25000 GT  Tier II,12.346667
Ro-Ro groesser 25000 GT FS,12.346667
Ro-Ro groesser 25000 GT Tier I,12.346667
Tanker Handy Max FS,10.288889
Tanker Handy Max Tier I,10.288889
Tanker Handy Max Tier II,10.288889
Tanker Handy Size FS,10.288889
Tanker Handy Size Tier I,10.288889
Tanker Handy Size Tier II,10.288889
Tanker PanMax FS,10.288889
Tanker PanMax Tier I,10.288889
Tanker PanMax Tier II,10.288889
Tanker SuezMax FS,10.288889
Tanker SuezMax Tier I,10.288889
Tanker SuezMax Tier II,10.288889
