Type;Input (delta) [%];Speed [m/second];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];PM (Well to tank) [kg];Energy (Well to tank) [J];NOx (Well to tank) [kg];GWP [kg];NOx [kg];PM [kg];CH4 [kg];SOx [kg];CO2 [kg];Energy [J];NPV [EUR];Fuel Consumption [kg]
Tanker_Handy_Max_Tier_II;-100;0.0;42.566;0.13;0.149;0.013999999999999999;757024308.754;0.14400000000000002;329.55800000000005;4.4110000000000005;0.11900000000000001;0.0;0.20199999999999999;282.817;3764571428.5709996;-134.905;88.215
Tanker_Handy_Max_Tier_II;-98;0.10300000000000001;42.699;0.13;0.15;0.013999999999999999;759393451.5289999;0.145;330.59;4.43;0.12;0.0;0.20199999999999999;283.702;3776352829.905;-135.368;88.491
Tanker_Handy_Max_Tier_II;-96;0.20600000000000002;42.832;0.131;0.15;0.013999999999999999;761762468.44;0.145;331.621;4.449;0.12;0.0;0.203;284.587;3788133605.336;-135.83100000000002;88.76700000000001
Tanker_Handy_Max_Tier_II;-94;0.309;42.965;0.131;0.151;0.013999999999999999;764131359.487;0.146;332.652;4.468;0.12;0.0;0.204;285.472;3799913754.863;-136.29399999999998;89.04299999999999
Tanker_Handy_Max_Tier_II;-92;0.41200000000000003;43.098;0.131;0.151;0.013999999999999999;766500124.67;0.146;333.684;4.487;0.121;0.0;0.204;286.357;3811693278.4859996;-136.757;89.319
Tanker_Handy_Max_Tier_II;-90;0.514;43.232;0.132;0.151;0.013999999999999999;768868763.988;0.147;334.715;4.506;0.121;0.0;0.205;287.242;3823472176.205;-137.22;89.595
Tanker_Handy_Max_Tier_II;-88;0.617;43.365;0.132;0.152;0.015;771237277.4430001;0.147;335.746;4.525;0.122;0.0;0.205;288.127;3835250448.021;-137.683;89.87100000000001
Tanker_Handy_Max_Tier_II;-86;0.72;43.498000000000005;0.133;0.152;0.015;773605665.0339999;0.14800000000000002;336.777;4.544;0.122;0.0;0.20600000000000002;289.012;3847028093.934;-138.14600000000002;90.147
Tanker_Handy_Max_Tier_II;-84;0.823;43.631;0.133;0.153;0.015;775973926.76;0.14800000000000002;337.80800000000005;4.563;0.122;0.0;0.207;289.89599999999996;3858805113.943;-138.609;90.42299999999999
Tanker_Handy_Max_Tier_II;-82;0.9259999999999999;43.763999999999996;0.133;0.153;0.015;778342062.623;0.14800000000000002;338.839;4.582;0.12300000000000001;0.0;0.207;290.781;3870581508.048;-139.072;90.699
Tanker_Handy_Max_Tier_II;-80;1.0290000000000001;43.897;0.134;0.154;0.015;780710072.622;0.149;339.87;4.601;0.12300000000000001;0.0;0.20800000000000002;291.666;3882357276.25;-139.535;90.975
Tanker_Handy_Max_Tier_II;-78;1.1320000000000001;45.341;0.138;0.159;0.015;806385787.54;0.154;351.04699999999997;4.8069999999999995;0.127;0.0;0.215;301.258;4010038860.148;-144.556;93.96700000000001
Tanker_Handy_Max_Tier_II;-76;1.235;46.784;0.14300000000000002;0.16399999999999998;0.016;832046695.9310001;0.159;362.218;5.013;0.13;0.0;0.222;310.845;4137646813.343;-149.575;96.95700000000001
Tanker_Handy_Max_Tier_II;-74;1.338;48.226000000000006;0.147;0.16899999999999998;0.016;857692797.7939999;0.16399999999999998;373.38300000000004;5.218999999999999;0.134;0.0;0.228;320.426;4265181135.834;-154.591;99.946
Tanker_Handy_Max_Tier_II;-72;1.44;49.667;0.151;0.174;0.017;883324093.128;0.168;384.541;5.425;0.138;0.0;0.235;330.001;4392641827.620999;-159.606;102.932
Tanker_Handy_Max_Tier_II;-70;1.5430000000000001;51.107;0.156;0.179;0.017;908940581.935;0.17300000000000001;395.69300000000004;5.632000000000001;0.142;0.0;0.242;339.57099999999997;4520028888.705;-164.61900000000003;105.917
Tanker_Handy_Max_Tier_II;-68;1.646;52.547;0.16;0.184;0.018000000000000002;934542264.213;0.17800000000000002;406.838;5.837999999999999;0.145;0.0;0.249;349.13599999999997;4647342319.0859995;-169.63099999999997;108.90100000000001
Tanker_Handy_Max_Tier_II;-66;1.749;53.986000000000004;0.165;0.18899999999999997;0.018000000000000002;960129139.963;0.183;417.977;6.044;0.149;0.0;0.256;358.695;4774582118.763;-174.64;111.882
Tanker_Handy_Max_Tier_II;-64;1.8519999999999999;55.424;0.16899999999999998;0.19399999999999998;0.019;985701209.1860001;0.188;429.10900000000004;6.25;0.153;0.0;0.263;368.249;4901748287.736;-179.64700000000002;114.86200000000001
Tanker_Handy_Max_Tier_II;-62;1.955;56.861000000000004;0.17300000000000001;0.19899999999999998;0.019;1011258471.88;0.193;440.235;6.456;0.157;0.0;0.26899999999999996;377.796;5028840826.005;-184.653;117.84
Tanker_Handy_Max_Tier_II;-60;2.0580000000000003;58.297;0.17800000000000002;0.204;0.02;1036800928.046;0.198;451.355;6.662000000000001;0.16;0.0;0.276;387.339;5155859733.571;-189.65599999999998;120.81700000000001
Tanker_Handy_Max_Tier_II;-58;2.161;61.806999999999995;0.188;0.217;0.021;1099235990.414;0.21;478.535;7.167000000000001;0.16899999999999998;0.0;0.293;410.664;5466340188.705;-201.891;128.092
Tanker_Handy_Max_Tier_II;-56;2.2640000000000002;65.313;0.19899999999999998;0.22899999999999998;0.022000000000000002;1161582407.994;0.222;505.676;7.671;0.179;0.0;0.309;433.95599999999996;5776379826.25;-214.115;135.357
Tanker_Handy_Max_Tier_II;-54;2.366;68.813;0.21;0.24100000000000002;0.023;1223840180.789;0.233;532.779;8.176;0.188;0.0;0.326;457.215;6085978646.205;-226.327;142.612
Tanker_Handy_Max_Tier_II;-52;2.469;72.309;0.22;0.253;0.024;1286009308.796;0.245;559.844;8.68;0.19699999999999998;0.0;0.34299999999999997;480.441;6395136648.571;-238.528;149.857
Tanker_Handy_Max_Tier_II;-50;2.572;75.8;0.231;0.266;0.025;1348089792.0180001;0.257;586.869;9.184;0.20600000000000002;0.0;0.359;503.63300000000004;6703853833.348001;-250.717;157.091
Tanker_Handy_Max_Tier_II;-48;2.675;79.285;0.242;0.278;0.027000000000000003;1410081630.4520001;0.26899999999999996;613.857;9.689;0.215;0.0;0.376;526.793;7012130200.535999;-262.895;164.315
Tanker_Handy_Max_Tier_II;-46;2.778;82.766;0.252;0.29;0.027999999999999997;1471984824.1;0.281;640.805;10.193;0.22399999999999998;0.0;0.392;549.919;7319965750.134;-275.062;171.528
Tanker_Handy_Max_Tier_II;-44;2.8810000000000002;86.242;0.263;0.302;0.028999999999999998;1533799372.961;0.293;667.715;10.698;0.23399999999999999;0.0;0.409;573.013;7627360482.143001;-287.218;178.731
Tanker_Handy_Max_Tier_II;-42;2.984;89.712;0.273;0.314;0.03;1595525277.036;0.304;694.586;11.202;0.243;0.0;0.425;596.073;7934314396.563001;-299.362;185.924
Tanker_Handy_Max_Tier_II;-40;3.0869999999999997;93.178;0.284;0.326;0.031;1657162536.325;0.316;721.419;11.707;0.252;0.0;0.441;619.1;8240827493.393001;-311.495;193.107
